Ax,Ay,Az
-921,7120,4188
-935,-8192,-5402
139,7678,9134
-1956,-10055,9019
-1810,12384,4136
566,-10661,-6151
-1226,7542,20279
752,-1855,-12714
-625,-1440,8949
2383,-784,-2586
-2839,3985,17262
-1020,-2078,-10402
1902,-3187,16846
-2039,6393,4504
1534,-7789,12929
-187,6540,-7865
395,-6063,13526
-2165,6555,2403
4197,-8176,-3933
-2618,8381,7504
4716,-2573,10437
-2508,691,2753
1803,-2845,-4829
-1834,6027,19627
1103,-8937,-12782
-1136,10635,8405
2615,-11446,13701
-3022,9189,3515
-911,-8690,-3087
1657,7200,19590
-1654,-5787,3428
1090,7686,2002
424,-9495,-1655
360,8404,18471
-102,-3048,-12847
-337,-1304,15138
-660,3759,-3936
-2850,-828,14865
1195,-894,-10658
1694,-1897,16625
-2710,5386,-954
3444,-8814,2808
-2514,10409,-4737
1661,-10858,14601
-396,8530,1838
3193,-8431,-1314
-3645,7750,18435
2614,-6753,4411
-3025,8607,656
2363,-3775,-469
-1732,5255,17662
488,-7799,-12845
-500,9585,15714
89,-11667,-3249
-3260,12719,14216
1523,-10234,-1786
1781,8909,17643
-2332,-4418,-12249
3235,2745,6700
-1958,-5291,941
1242,7961,15632
-363,-5254,-11480
1153,-1027,20475
-694,4212,1562
90,-4931,12854
1456,2411,-8021
377,-2569,17029
-2056,4599,-2999
3424,-7436,1121
-3448,9942,2470
3764,-11715,13741
-1679,12422,-1415
1199,-9873,-194
-3423,9119,16503
2234,-5125,-11609
-2613,9246,5688
3016,-8788,2248
-3020,6726,14917
-40,-7615,-11443
853,8410,21267
-358,-8270,968
-437,9958,12431
1921,-10415,-7853
396,9322,17895
-2054,-5421,-12388
3046,1216,15785
-3570,-657,-1182
3230,4269,12574
-1431,-5506,-10951
1019,1115,19700
-3768,3414,-6069
2587,-7878,6863
-868,8397,-5856
302,-7536,16647
-481,5797,-2650
3044,-7162,4185
-4107,8571,14525
3022,-8733,7537
-2863,10300,-3060
1462,-10338,3382
-2233,9366,14290
2154,-6076,-11795
-910,2072,15596
2267,-2122,37
-3769,5772,11650
2186,-6680,-10795
1625,9105,20345
-1278,-6523,-7420
2271,6509,7774
-320,-8921,-5869
-197,10204,17088
-578,-7515,-3978
2919,1352,22252
-4095,1594,354
3054,-1372,10989
-2664,-1926,-7188
1191,1131,19174
-2343,2573,-7400
2700,-6114,6023
-1016,9958,-1669
1926,-10519,15640
-882,9921,-5014
912,-8073,4918
-4185,8926,12198
3149,-7167,-8575
-3578,7604,2394
3070,-9865,6195
-2262,10575,12057
1310,-8078,-10317
-270,2197,22485
705,609,256
-1604,-104,10077
2921,-3300,-6732
118,9030,19631
-1860,-7148,-8590
1741,3858,7701
-3604,-4990,-2710
1227,8561,16031
-641,-8721,-6065
886,4030,6674
-4233,1361,-9935
3394,-5958,9130
-3782,5209,-5498
3027,-2925,17615
-1917,2667,-6572
1687,-5636,9764
-811,8301,10176
2857,-9418,10381
-2125,10080,-5858
748,-9414,7622
-2326,8676,9787
3573,-7591,-9456
-1447,4815,13376
3952,-6471,4314
-3515,9763,8277
2365,-9509,-9248
606,4944,21227
-303,580,-10892
1009,-5109,9466
1223,3823,-4919
-1751,10836,17733
-971,-8812,-7676
2471,3969,11673
-3364,-1479,8776
2645,2630,11307
-1744,-5861,-6511
607,4766,9169
-2355,347,8025
3863,-4334,-8322
-1617,8356,-4155
4312,-7332,16216
-3343,5991,-8095
2289,-5754,10193
87,7848,6912
31,-8438,-4157
483,10039,-1103
1664,-11746,10051
-1250,10677,8209
2443,-8973,-7609
-1826,4807,21873
1512,-2548,1076
