Ax,Ay,Az
5642,4507,4504
-6517,6579,-4341
2210,-12194,14294
3978,8064,1003
-7041,2619,-1852
4315,-11148,14816
2082,10687,-2169
-6631,-1446,1426
5808,-8727,14133
-231,12038,-4530
-5371,-5517,4932
6732,-5538,12369
-2653,12199,-5940
-3606,11745,8343
7050,-10198,9682
-4615,395,-6161
-1537,9784,11359
6401,-11814,6317
-5940,4227,-5205
913,6618,13527
4885,-12157,2808
-6904,7894,1113
3342,2801,-1934
3151,-11193,14807
-6994,10622,-2066
5088,-1412,1299
5745,-8883,14158
-203,12119,-4523
-5368,-5453,4824
6718,-5588,12418
-2702,12281,-5970
-3638,-8906,8220
7021,-1702,9751
-4542,11045,-6181
-1527,-11223,11263
6352,2322,6418
-5889,8423,-5244
912,-12233,13524
4941,6199,2947
-6884,7888,-3303
3236,2876,14716
3161,-11232,-435
-6992,10589,-433
5057,-1295,14669
1073,-8852,-3310
-6100,12055,3054
6300,-5367,4796
-1385,-5685,12466
-4612,12234,-5885
6998,-8746,8135
-3677,-1916,9741
-2705,10986,-6119
6813,-11099,11163
6376,2298,6454
-5856,8416,-5334
840,-12168,13440
4973,6140,2908
-6859,4937,-3403
3200,-11870,14604
3221,9289,-407
-7010,912,-569
5019,-10273,14540
1196,11279,-3377
-6094,-3283,2925
6277,-7478,13484
-1364,12293,-5274
-4677,-7093,6451
7002,-3909,11344
-3599,-1973,-6144
-2800,11090,9722
6900,-11028,8364
-5183,2109,-5868
-518,8577,12415
5842,-12068,4898
-6381,5771,-4442
1950,5073,-3338
4222,-11875,14654
-7077,9102,-194
4130,1127,-654
2313,-10409,14724
-6684,11298,-3102
5650,-3009,2688
95,-7720,13600
-1172,12313,-5193
-4730,-6862,6191
6958,-4107,11395
-3446,11817,-6255
-2870,-9894,9565
6930,-77,8364
-5185,10048,-6010
-558,-11741,12239
5908,3975,4966
-6371,7058,-4663
1920,-12217,13978
4287,7424,1465
-7016,3297,-2241
4057,1288,14781
2385,-10473,-1597
-6753,11278,832
5585,-2880,14377
177,-7806,-4140
-5565,12292,4377
6621,-6742,12789
-2302,-4265,-5738
-3904,11997,-6113
7026,-9793,9444
-4333,-227,8675
-1896,10368,-5930
6575,-11639,12154
-5697,3664,5239
446,7264,-4709
1729,-12223,14028
4363,7344,1727
-7035,3533,-2440
3942,-11457,14794
2519,10210,-1557
-6790,-497,691
5557,-9293,14319
288,11846,-4117
-5661,-4669,4155
6536,-6298,12798
-2185,12285,-5738
-4031,-8192,7582
7063,-2547,10310
-4243,-518,-6229
-2055,10327,10701
6613,-11490,7103
-5651,3463,-5533
382,7430,13146
5308,-12207,3681
-6706,7173,1912
2777,3733,-2489
3562,-11498,14815
-6992,10087,-1328
4752,-404,573
1522,-9600,14412
-6304,11824,-3949
6050,-4552,4039
6504,-6466,12907
-2071,12268,-5666
-4037,-8119,7506
6976,-2616,10375
-4203,11364,-6230
-2062,-10756,10636
6599,1468,7192
-5682,9184,-5560
318,-12020,13028
5296,5318,3669
-6721,5725,-3850
2712,-12042,14508
3578,8687,261
-7052,1761,-1183
4736,-355,14718
1604,-9572,-2719
-6368,11929,2129
6059,-4408,13819
-798,-6533,-4917
-4955,12351,5735
6841,-8010,11811
-3180,-2737,10483
-3148,11406,-6196
6946,-10714,10602
-4943,1350,7292
-935,9101,-5566
6045,-12076,13070
-6225,5321,3759
1457,5764,-3870
2712,-12057,14462
3573,8525,339
-7028,1915,-1183
4672,-10760,14718
1609,10994,-2663
-6387,-2344,2107
6016,-8230,13860
-773,12235,-4929
-5005,-6274,5593
6856,-4748,11883
-3120,12062,-6090
-3237,-9466,8970
7002,-817,9061
-4907,10485,-6103
-1034,9190,11846
6158,-12004,5643
-6154,5154,-4897
1420,5859,13910
4535,-12056,2112
-6979,8604,-2668
3752,1915,14815
2719,-10769,14802
-6827,10997,-2574
5385,-2096,1964
526,-8344,13817
-5719,12138,-4787
6460,-6090,5492
-1956,-4913,11940
-4235,12083,-6016
-3272,-9337,8875
7006,-931,9129
-4846,10561,-6089
-1137,-11474,11755
6210,3097,5750
-6107,7769,-5009
1322,-12219,13785
4632,6878,2160
-6976,4253,-2793
3637,-11481,14710
2796,9751,-1074
-6910,-9,178
5332,-2098,14507
667,-8403,-3738
-5814,12176,3637
6446,-6016,13116
-1820,-4977,-5532
-4277,12128,7193
7023,-9284,10736
-3993,-1037,-6175
-2296,10887,10168
6760,-11266,11710
-5441,2970,5838
56,7820,-4948
5426,-12172,13769
-6552,6772,2303
2533,4192,-2862
3758,-11631,14748
2830,9835,-1043
-6854,1,131
5288,-9777,14461
616,11723,-3782
-5843,-4111,3580
6454,-6801,13064
-1855,12380,-5588
-4222,-7816,7107
7044,-3096,10597
-3990,11503,-6162
-2260,-10511,10322
6695,1004,7556
-5502,9354,-5672
84,-11967,12902
5480,-12225,4017
-6613,6867,-3992
2557,4129,14473
3688,-11546,521
-7029,9691,-1268
4612,-64,14774
1725,-9737,-2499
-6435,11690,-3778
5967,-4187,3771
-612,-6689,13055
-5040,12335,-5568
6831,-7850,7268
-3087,-2893,10592
-3246,11467,-6198
6997,-10563,10433
6679,1138,7415
-5564,9265,-5669
173,-11988,12746
5451,4953,3808
-6593,5945,-3965
2612,-12078,14372
3691,8467,456
-6993,2021,-1340
4616,-10806,14734
1706,10972,-2568
-6421,-2182,1977
5997,-8321,13883
-657,12217,-4825
